timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Radiator_network_1_secondary_valve,Radiator_network_2_temperature,Radiator_network_2_primary_valve,Radiator_network_2_secondary_valve,Energy_consumption,Outside_temperature_average,Inside_temperature,CO2_concentration,avg_humidity,Outside_humidity,Solar_irradiance
2021-01-02 00:00:00+00:00,79.25385882578063,0.0,51.87946996955503,83.60155844700093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,-0.8,20.89,,23.333333333333332,100.0,-1.0
2021-01-02 01:00:00+00:00,79.33660325965327,0.0,51.76272296836462,82.79117124834674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,-0.7,20.89166666666667,,23.333333333333332,100.0,-0.8
2021-01-02 02:00:00+00:00,79.63330285252258,0.0,51.58231267756846,80.77286582189787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,-0.7,20.91,,23.333333333333332,100.0,-0.8
2021-01-02 03:00:00+00:00,79.64166472490899,0.0,51.29848503751134,80.4880914874104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,-0.7,20.923333333333336,,23.395,100.0,-0.8
2021-01-02 04:00:00+00:00,79.40395263644723,0.0,51.08553290612552,80.97047132519332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,-0.3,20.933333333333334,,23.438333333333333,100.0,-0.9
2021-01-02 05:00:00+00:00,79.40873284238018,0.0,51.3564076007823,82.00499543016382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,-0.4,20.933333333333334,,23.266666666666666,99.0,-1.1
2021-01-02 06:00:00+00:00,79.49460231697054,0.0,52.01490367741128,83.19963237252522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,-0.3,20.933333333333334,,22.463333333333335,95.0,-1.1
2021-01-02 07:00:00+00:00,79.14176474859639,0.0,52.3394200015308,83.64142765599905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,-0.8,20.916666666666668,,21.875,89.0,-1.1
2021-01-02 08:00:00+00:00,79.06999881244211,0.0,52.337247953101816,84.22128562591385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,-1.4,20.903333333333332,,21.413333333333338,88.0,4.1
2021-01-02 09:00:00+00:00,79.13552107403865,0.0,52.17611525482017,83.83952233501607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,-1.4,20.903333333333336,,21.333333333333332,91.0,17.8
2021-01-02 10:00:00+00:00,79.15604191753012,0.0,52.1827102743116,84.25917834896407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,-1.3,20.91,,21.333333333333332,90.0,28.3
2021-01-02 11:00:00+00:00,79.48271005069155,0.0,52.55273943951438,84.21489783299465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,-1.3,20.895,,21.128333333333334,89.0,22.0
2021-01-02 12:00:00+00:00,79.5933318101071,0.0,52.59215873517538,83.76572910030184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,-1.3,20.92,,20.966666666666665,90.0,15.5
2021-01-02 13:00:00+00:00,79.51114558302535,0.0,52.659970489795,83.97770334375177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,-1.4,20.888333333333335,,20.765,87.0,4.4
2021-01-02 14:00:00+00:00,79.53718656789911,0.0,52.90263198863972,84.87229152694277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,-1.4,20.875,,20.801666666666666,89.0,-0.9
2021-01-02 15:00:00+00:00,79.76989308982621,0.0,53.24437420722193,85.1216793950542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,-1.4,20.885,,20.3,87.0,-1.5
2021-01-02 16:00:00+00:00,79.82218640062463,0.0,53.354892994672,84.96633260645267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,-1.8,20.858333333333334,,20.105,88.0,-1.2
2021-01-02 17:00:00+00:00,80.10385221885282,0.0,53.64718587495052,85.13242382078501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,-2.1,20.860000000000003,,19.816666666666666,88.0,-1.1
2021-01-02 18:00:00+00:00,80.1478143521962,0.0,53.82100910769121,85.50039061344718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,-2.2,20.85166666666667,,19.321666666666665,89.0,-1.0
2021-01-02 19:00:00+00:00,80.16936903208635,0.0,54.04429095336745,85.71896121273925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-2.4,20.83666666666667,,19.166666666666668,85.0,-1.1
2021-01-02 20:00:00+00:00,80.26540779702299,0.0,54.29109636761128,85.58181329782079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-2.4,20.82166666666667,,19.078333333333333,85.0,-1.1
2021-01-02 21:00:00+00:00,80.58936859820413,0.0,54.41720632091085,84.44229698121818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-2.5,20.808333333333334,,18.849999999999998,88.0,-1.2
2021-01-02 22:00:00+00:00,80.92655516973906,0.0,54.59436973433897,85.00104196809995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-2.8,20.808333333333334,,18.516666666666666,90.0,-1.0
2021-01-02 23:00:00+00:00,81.13218233918911,0.0,54.67166686685896,84.76518054295911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-3.1,20.805,,18.333333333333332,91.0,-1.1
2021-01-03 00:00:00+00:00,81.26773160348851,0.0,54.68773099515762,84.4498859260558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-3.2,20.813333333333333,,18.3,92.0,-0.8
2021-01-03 01:00:00+00:00,81.32830578205893,0.0,54.659512456302366,84.29769637021414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-3.3,20.8,,18.24833333333333,91.0,-1.1
2021-01-03 02:00:00+00:00,81.48551714752664,0.0,54.67548619932953,84.71955043332613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-3.3,20.8,,18.161666666666665,91.0,-1.0
2021-01-03 03:00:00+00:00,81.44885032184115,0.0,54.82387991402517,84.98350339055645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-3.1,20.806666666666665,,18.09,89.0,-1.1
2021-01-03 04:00:00+00:00,81.64551501783147,0.0,54.92163673182478,84.53900921595472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-3.3,20.794999999999998,,18.166666666666668,91.0,-1.1
2021-01-03 05:00:00+00:00,81.70169642733033,0.0,54.85833311743142,84.91344968830992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-3.5,20.778333333333332,,18.166666666666668,89.0,-1.1
2021-01-03 06:00:00+00:00,80.87523821742262,0.0,54.93384907097915,86.13830173941399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,-3.5,20.783333333333335,,18.083333333333332,88.0,-1.3
2021-01-03 07:00:00+00:00,81.59433584221162,0.0,54.97551478256847,86.00391590380197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-3.5,20.775,,18.166666666666668,89.0,-1.3
2021-01-03 08:00:00+00:00,81.52654512052922,0.0,54.94127335306768,85.72930712432809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-3.5,20.758333333333333,,18.166666666666668,89.0,2.8
2021-01-03 09:00:00+00:00,81.56948432014984,0.0,54.5979413205944,84.68166846909128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,-3.4,20.755,,18.166666666666668,89.0,18.9
