Aika,kWh
2021-12-03 14:00:00,106
2021-12-03 15:00:00,108
2021-12-03 16:00:00,106
2021-12-03 17:00:00,104
2021-12-03 18:00:00,101
2021-12-03 19:00:00,105
2021-12-03 20:00:00,96
2021-12-03 21:00:00,94
2021-12-03 22:00:00,99
2021-12-03 23:00:00,90
2021-12-04 00:00:00,91
2021-12-04 01:00:00,92
2021-12-04 02:00:00,88
2021-12-04 03:00:00,89
2021-12-04 04:00:00,93
2021-12-04 05:00:00,88
2021-12-04 06:00:00,94
2021-12-04 07:00:00,90
2021-12-04 08:00:00,96
2021-12-04 09:00:00,101
2021-12-04 10:00:00,102
2021-12-04 11:00:00,108
2021-12-04 12:00:00,111
2021-12-04 13:00:00,108
2021-12-04 14:00:00,116
2021-12-04 15:00:00,116
2021-12-04 16:00:00,126
2021-12-04 17:00:00,129
2021-12-04 18:00:00,125
2021-12-04 19:00:00,131
2021-12-04 20:00:00,128
2021-12-04 21:00:00,129
2021-12-04 22:00:00,127
2021-12-04 23:00:00,130
2021-12-05 00:00:00,127
2021-12-05 01:00:00,138
2021-12-05 02:00:00,130
2021-12-05 03:00:00,138
2021-12-05 04:00:00,134
2021-12-05 05:00:00,138
2021-12-05 06:00:00,144
2021-12-05 07:00:00,139
2021-12-05 08:00:00,145
2021-12-05 09:00:00,141
2021-12-05 10:00:00,139
2021-12-05 11:00:00,151
2021-12-05 12:00:00,143
2021-12-05 13:00:00,139
2021-12-05 14:00:00,141
2021-12-05 15:00:00,134
2021-12-05 16:00:00,136
2021-12-05 17:00:00,136
2021-12-05 18:00:00,141
2021-12-05 19:00:00,143
2021-12-05 20:00:00,147
2021-12-05 21:00:00,147
2021-12-05 22:00:00,149
2021-12-05 23:00:00,144
2021-12-06 00:00:00,150
2021-12-06 01:00:00,143
2021-12-06 02:00:00,147
2021-12-06 03:00:00,137
2021-12-06 04:00:00,137
2021-12-06 05:00:00,144
2021-12-06 06:00:00,131
2021-12-06 07:00:00,136
2021-12-06 08:00:00,132
2021-12-06 09:00:00,134
2021-12-06 10:00:00,130
2021-12-06 11:00:00,128
2021-12-06 12:00:00,127
2021-12-06 13:00:00,124
2021-12-06 14:00:00,125
2021-12-06 15:00:00,119
2021-12-06 16:00:00,129
2021-12-06 17:00:00,137
2021-12-06 18:00:00,138
2021-12-06 19:00:00,136
2021-12-06 20:00:00,135
2021-12-06 21:00:00,136
2021-12-06 22:00:00,134
2021-12-06 23:00:00,139
2021-12-07 00:00:00,135
2021-12-07 01:00:00,139
2021-12-07 02:00:00,148
2021-12-07 03:00:00,144
2021-12-07 04:00:00,155
2021-12-07 05:00:00,148
2021-12-07 06:00:00,149
2021-12-07 07:00:00,147
2021-12-07 08:00:00,147
2021-12-07 09:00:00,154
2021-12-07 10:00:00,148
2021-12-07 11:00:00,139
