Aika,kWh
2021-12-30 12:00:00,92
2021-12-30 13:00:00,88
2021-12-30 14:00:00,93
2021-12-30 15:00:00,85
2021-12-30 16:00:00,90
2021-12-30 17:00:00,86
2021-12-30 18:00:00,85
2021-12-30 19:00:00,82
2021-12-30 20:00:00,84
2021-12-30 21:00:00,81
2021-12-30 22:00:00,81
2021-12-30 23:00:00,78
2021-12-31 00:00:00,80
2021-12-31 01:00:00,72
2021-12-31 02:00:00,78
2021-12-31 03:00:00,69
2021-12-31 04:00:00,69
2021-12-31 05:00:00,69
2021-12-31 06:00:00,64
2021-12-31 07:00:00,71
2021-12-31 08:00:00,73
2021-12-31 09:00:00,71
2021-12-31 10:00:00,77
2021-12-31 11:00:00,73
2021-12-31 12:00:00,80
2021-12-31 13:00:00,74
2021-12-31 14:00:00,71
2021-12-31 15:00:00,74
2021-12-31 16:00:00,68
2021-12-31 17:00:00,77
2021-12-31 18:00:00,75
2021-12-31 19:00:00,72
2021-12-31 20:00:00,75
2021-12-31 21:00:00,70
2021-12-31 22:00:00,74
2021-12-31 23:00:00,72
2022-01-01 00:00:00,72
2022-01-01 01:00:00,74
2022-01-01 02:00:00,72
2022-01-01 03:00:00,77
2022-01-01 04:00:00,84
2022-01-01 05:00:00,88
2022-01-01 06:00:00,92
2022-01-01 07:00:00,86
2022-01-01 08:00:00,88
2022-01-01 09:00:00,90
2022-01-01 10:00:00,94
2022-01-01 11:00:00,99
2022-01-01 12:00:00,95
2022-01-01 13:00:00,98
2022-01-01 14:00:00,97
2022-01-01 15:00:00,92
2022-01-01 16:00:00,87
2022-01-01 17:00:00,97
2022-01-01 18:00:00,89
2022-01-01 19:00:00,97
2022-01-01 20:00:00,96
2022-01-01 21:00:00,99
2022-01-01 22:00:00,108
2022-01-01 23:00:00,99
2022-01-02 00:00:00,102
2022-01-02 01:00:00,104
2022-01-02 02:00:00,105
2022-01-02 03:00:00,113
2022-01-02 04:00:00,113
2022-01-02 05:00:00,113
2022-01-02 06:00:00,110
2022-01-02 07:00:00,111
2022-01-02 08:00:00,114
2022-01-02 09:00:00,113
2022-01-02 10:00:00,110
2022-01-02 11:00:00,106
2022-01-02 12:00:00,107
2022-01-02 13:00:00,95
2022-01-02 14:00:00,98
2022-01-02 15:00:00,86
2022-01-02 16:00:00,89
2022-01-02 17:00:00,87
2022-01-02 18:00:00,87
2022-01-02 19:00:00,91
2022-01-02 20:00:00,85
2022-01-02 21:00:00,86
2022-01-02 22:00:00,91
2022-01-02 23:00:00,84
2022-01-03 00:00:00,91
2022-01-03 01:00:00,87
2022-01-03 02:00:00,89
2022-01-03 03:00:00,90
2022-01-03 04:00:00,88
2022-01-03 05:00:00,90
2022-01-03 06:00:00,88
2022-01-03 07:00:00,87
2022-01-03 08:00:00,91
2022-01-03 09:00:00,90
2022-01-03 10:00:00,94
2022-01-03 11:00:00,85
2022-01-03 12:00:00,85
2022-01-03 13:00:00,90
2022-01-03 14:00:00,88
2022-01-03 15:00:00,90
2022-01-03 16:00:00,85
2022-01-03 17:00:00,89
2022-01-03 18:00:00,88
2022-01-03 19:00:00,90
2022-01-03 20:00:00,89
2022-01-03 21:00:00,90
2022-01-03 22:00:00,92
2022-01-03 23:00:00,92
2022-01-04 00:00:00,92
2022-01-04 01:00:00,87
2022-01-04 02:00:00,94
2022-01-04 03:00:00,88
2022-01-04 04:00:00,88
2022-01-04 05:00:00,92
2022-01-04 06:00:00,86
2022-01-04 07:00:00,91
2022-01-04 08:00:00,88
2022-01-04 09:00:00,91
2022-01-04 10:00:00,95
2022-01-04 11:00:00,89
2022-01-04 12:00:00,89
2022-01-04 13:00:00,81
2022-01-04 14:00:00,80
2022-01-04 15:00:00,79
2022-01-04 16:00:00,74
2022-01-04 17:00:00,74
2022-01-04 18:00:00,76
2022-01-04 19:00:00,73
2022-01-04 20:00:00,76
2022-01-04 21:00:00,73
2022-01-04 22:00:00,69
2022-01-04 23:00:00,73
2022-01-05 00:00:00,73
2022-01-05 01:00:00,70
2022-01-05 02:00:00,75
2022-01-05 03:00:00,68
2022-01-05 04:00:00,73
2022-01-05 05:00:00,69
2022-01-05 06:00:00,71
2022-01-05 07:00:00,74
2022-01-05 08:00:00,75
2022-01-05 09:00:00,75
2022-01-05 10:00:00,78
2022-01-05 11:00:00,72
2022-01-05 12:00:00,76
2022-01-05 13:00:00,75
2022-01-05 14:00:00,72
2022-01-05 15:00:00,69
2022-01-05 16:00:00,73
2022-01-05 17:00:00,74
2022-01-05 18:00:00,80
2022-01-05 19:00:00,76
2022-01-05 20:00:00,74
2022-01-05 21:00:00,78
2022-01-05 22:00:00,74
2022-01-05 23:00:00,78
2022-01-06 00:00:00,75
2022-01-06 01:00:00,73
2022-01-06 02:00:00,75
2022-01-06 03:00:00,75
2022-01-06 04:00:00,75
2022-01-06 05:00:00,90
2022-01-06 06:00:00,96
2022-01-06 07:00:00,99
2022-01-06 08:00:00,106
2022-01-06 09:00:00,103
2022-01-06 10:00:00,113
2022-01-06 11:00:00,105
2022-01-06 12:00:00,110
2022-01-06 13:00:00,105
2022-01-06 14:00:00,102
2022-01-06 15:00:00,103
2022-01-06 16:00:00,97
2022-01-06 17:00:00,111
2022-01-06 18:00:00,107
2022-01-06 19:00:00,111
2022-01-06 20:00:00,110
2022-01-06 21:00:00,107
2022-01-06 22:00:00,103
2022-01-06 23:00:00,98
2022-01-07 00:00:00,98
2022-01-07 01:00:00,97
2022-01-07 02:00:00,99
2022-01-07 03:00:00,99
