,Radiator_network_2_offset,Ventilation_network_2_offset,Ventilation_network_1_main_valve,Ventilation_network_1_secondary_valve,Ventilation_network_2_main_valve,Ventilation_network_2_secondary_valve,Domestic_water_network_1_primary_valve,Domestic_water_network_1_secondary_valve,Domestic_water_network_2_primary_valve,Domestic_water_network_2_secondary_valve,Radiator_network_1_primary_valve,Radiator_network_1_secondary_valve,Radiator_network_2_primary_valve,Radiator_network_2_secondary_valve,AHU1_supply_fan,AHU2_supply_fan,AHU3_supply_fan,AHU4_supply_fan,AHU5_supply_fan,District_heat_temperature,Outside_temperature_average,AHU1_supply_temperature,AHU2_supply_temperature,AHU3_supply_temperature,AHU4_supply_temperature,AHU5_supply_temperature,Ventilation_network_1_temperature,Ventilation_network_2_temperature,Domestic_water_network_1_temperature,Domestic_water_network_2_temperature,Radiator_network_1_temperature,Radiator_network_2_temperature,Outside_humidity,Solar_irradiance,Inside_temperature,Inside_humidity,CO2_concentration,Energy_consumption
2021-02-11 00:00:00+00:00,0,0,66.21052631578948,0.0,54.10526315789474,0.0,20.0,0.0,13.105263157894736,0.0,51.87719298245614,0.0,61.333333333333336,0.0,0.0,0.0,1.0,0.0,0.0,104.30000024092824,-12.721052521153501,21.896428176334926,23.06250023841858,18.960714169910975,18.529090985384855,15.199999809265137,66.24386007743969,66.83684245327063,58.03859610306589,58.01403500740988,56.98070204885382,55.83684252019514,83.66666666666667,0.0,22.408333333333335,13.0,568.8888888888889,350.0
2021-02-11 01:00:00+00:00,0,0,66.82142857142857,0.0,54.035714285714285,0.0,19.946428571428573,0.0,13.0,0.0,52.017857142857146,0.0,61.982142857142854,0.0,0.0,0.0,1.0,0.0,0.0,105.08928639548165,-12.800000190734863,21.799999237060547,22.944642645972117,18.953571251460485,18.396363518454812,15.198181637850675,66.51071384974888,67.21428557804653,58.028571128845215,58.0214284488133,57.29464210782732,56.255357197352815,83.5,0.0,22.52,12.9375,584.9444444444445,350.0
2021-02-11 02:00:00+00:00,0,0,67.17543859649123,0.0,54.10526315789474,0.0,19.964912280701753,0.0,12.859649122807017,0.0,51.89473684210526,0.0,61.96491228070175,0.0,0.0,0.0,1.0,0.0,0.0,105.29473756489001,-12.800000190734863,21.799999237060547,22.842856543404714,19.06250023841858,18.245454476096413,15.140000152587891,66.69999989292077,67.41579008938973,58.0263153879266,57.98947364405582,57.485964925665606,56.577192741527895,83.0,0.0,22.46666666666667,12.847222222222221,587.9166666666666,360.0
2021-02-11 03:00:00+00:00,0,0,67.05357142857143,0.0,54.0,0.0,19.696428571428573,0.0,12.767857142857142,0.0,52.0,0.0,62.142857142857146,0.0,0.0,0.0,1.0,0.0,0.0,105.58571338653564,-13.610714605876378,21.725000381469727,22.799999237060547,19.112500429153442,18.2851852134422,15.100000381469727,66.79642922537667,67.57142843518939,58.04464258466448,58.00178582327707,57.59999942779541,56.79464292526245,83.0,0.0,22.366666666666664,10.854166666666666,568.75,350.0
2021-02-11 04:00:00+00:00,0,0,67.10714285714286,0.0,53.766666666666666,0.0,19.607142857142858,0.0,12.3,0.0,52.07142857142857,0.0,61.916666666666664,0.0,0.0,0.0,1.0,0.0,0.0,105.75614072565446,-13.699999809265137,21.700000762939453,22.79636292891069,19.056363851373845,18.241818341341887,15.098182192715731,66.91754431473582,67.72807044313664,58.03859603614138,58.01228064821478,57.73859679908083,57.06491175869055,83.66666666666667,0.0,22.150000000000002,9.173611111111112,587.0833333333334,360.0
2021-02-11 05:00:00+00:00,0,0,67.43859649122807,0.0,74.94642857142857,0.0,19.526315789473685,0.0,13.0,0.0,51.91228070175438,0.0,63.75,0.0,0.0,0.0,1.0,0.9,0.0,106.51228158515796,-13.699999809265137,21.700000762939453,22.87894690664191,19.119298700700725,18.056363729997116,14.430909208817916,67.10175470720257,67.86491206654331,58.0368418107953,57.96842140063905,58.06666658635725,57.319298459772476,83.5,0.0,21.94333333333334,8.700000000000001,576.1666666666666,420.0
2021-02-11 06:00:00+00:00,0,0,70.76785714285714,0.5178571428571429,77.46428571428571,0.0,21.303571428571427,0.0,12.928571428571429,0.0,50.80357142857143,0.0,63.910714285714285,0.0,0.0,0.0,1.0,1.0,0.8272727272727273,107.01071412222726,-14.596428939274379,21.700000762939453,22.548000106811525,18.909091151844372,17.057407626399286,19.098148239983452,66.56545486450196,67.82499980926514,57.95272730047053,58.02142851693289,57.8981819152832,57.34285729272025,84.0,0.0,21.91388888888889,9.22638888888889,690.5555555555557,460.0
2021-02-11 07:00:00+00:00,0,0,3.4210526315789473,25.666666666666668,79.36842105263158,0.0,26.403508771929825,0.0,15.017543859649123,0.0,54.70175438596491,0.0,66.70175438596492,0.0,1.0,1.0,1.0,1.0,1.0,107.24736879582991,-14.5,21.151852007265443,18.285185284084744,18.26140360246625,17.13636415654963,17.983636301214045,66.45614021702816,67.76842137386924,58.11228039390162,57.991228003250924,57.433333681340805,57.07017550552101,84.5,3.8138,22.21388888888889,11.4375,942.3611111111112,670.0
2021-02-11 08:00:00+00:00,0,0,15.235294117647058,6.549019607843137,78.2,0.0,21.647058823529413,0.0,15.24,0.0,53.627450980392155,0.0,65.96,0.0,1.0,1.0,1.0,1.0,1.0,107.17142844686703,-14.5,21.004651269247365,18.120930294657864,18.042000007629394,17.156000556945802,18.07000026702881,66.69411767697802,67.72040853694993,57.99411758722044,58.03673452260543,57.26862761553596,57.13265290552256,84.5,54.230199999999996,22.37444444444444,12.530092592592593,1055.7407407407406,660.0
2021-02-11 09:00:00+00:00,0,0,96.6842105263158,0.0,77.5,0.0,24.80701754385965,0.0,14.125,0.0,51.70175438596491,0.0,62.75,0.0,1.0,1.0,1.0,1.0,1.0,107.04999923706055,-15.300000190734863,20.241071462631226,17.758928503308976,17.907272442904386,17.030909208817917,18.0,65.8157894736842,66.88750076293945,57.9701754921361,58.01249980926514,56.53859643768846,56.03749990463257,85.0,159.2521,22.57063492063492,13.462301587301587,1164.107142857143,640.0
