timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,Energy_consumption,Outside_temperature_average,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_humidity,Solar_irradiance
2021-08-28 19:00:00+00:00,64.9648373,57.98164091,26.37317071,2.099999905,25.11355542,5.900000095,0,4,17.9,,,,87,-2.2
2021-08-28 20:00:00+00:00,66.12316202,58.0000005,27.58898093,2.099999905,24.09435083,2.480630329,0,5,16.5,,,,88,-2.1
2021-08-28 21:00:00+00:00,67.26821763,58.05833419,28.63573083,2.099999905,24.94492454,1.975419226,0,6,15.2,,,,93,-1.8
2021-08-28 22:00:00+00:00,67.72937174,58.06017306,29.32052324,2.099999905,24.58706832,2.707101748,0,8,14.5,,,,94,-2.2
2021-08-28 23:00:00+00:00,68.62240563,58.07499785,29.99984195,2.099999905,25.01310972,6.979333558,0,9,13.5,,,,96,-2.2
2021-08-29 00:00:00+00:00,69.53571955,58.007482,30.48826663,2.099999905,25.19999509,7.210890864,0,9,13,,,,98,-2.4
2021-08-29 01:00:00+00:00,69.924151,58.00084868,31.07908142,2.099999905,25.60595134,4.718875033,0,15,11.6,,,,98,-2.2
2021-08-29 02:00:00+00:00,69.88588577,57.96258642,31.60578184,2.099999905,25.79897838,4.233526193,0,15,10.3,,,,99,-1.6
2021-08-29 03:00:00+00:00,69.58588642,58.01496702,31.90340544,2.099999905,25.82129023,4.636541598,0,11,10.5,,,,98,0.7
2021-08-29 04:00:00+00:00,69.31088929,58.03911074,31.39507574,2.099999905,25.89197513,4.223827481,0,12,9.5,,,,99,48.4
2021-08-29 05:00:00+00:00,68.64015231,58.01666569,29.88541843,2.099999905,25.31297209,3.149920145,0,12,8.6,,,,99,164.1
2021-08-29 06:00:00+00:00,67.94848951,58.02755876,27.99783207,2.099999905,24.62053796,2.008346136,0,11,8.6,,,,85,241.5
2021-08-29 07:00:00+00:00,66.9010523,58.00748029,26.31942508,2.099999905,23.96791672,0.100000001,0,9,11.1,,,,80,369.5
2021-08-29 08:00:00+00:00,65.76024435,58.07670708,24.25040607,2.099999905,23.96752062,0.100000001,0,6,14.8,,,,78,526.1
2021-08-29 09:00:00+00:00,64.3702902,57.98162527,22.70447676,2.099999905,23.66666598,0.100000001,0,4,16.3,,,,77,588.6
2021-08-29 10:00:00+00:00,63.26602469,57.85170951,22.1683762,2.099999905,24.07906022,0.100000001,0,3,16.9,,,,72,179.7
2021-08-29 11:00:00+00:00,62.58846595,57.84166711,22.00085492,2.099999905,24.42243272,0.100000001,0,2,17.1,,,,61,169
2021-08-29 12:00:00+00:00,62.07009417,57.9241439,21.90085644,2.099999905,24.70661985,0.100000001,0,2,17.9,,,,53,647.5
2021-08-29 13:00:00+00:00,61.98995203,57.86747543,21.89999962,2.099999905,24.93328531,0.100000001,0,3,18.8,,,,58,537.9
2021-08-29 14:00:00+00:00,62.35237714,58.05909259,21.89999962,2.099999905,25.13328489,0.100000001,0,2,20.3,,,,57,442.6
2021-08-29 15:00:00+00:00,62.64247435,57.91095768,21.89999962,2.099999905,25.24247502,0.100000001,0,2,19.8,,,,60,82.2
2021-08-29 16:00:00+00:00,62.80080836,57.93586013,21.89999962,2.099999905,25.39080761,0.100000001,0,2,19.4,,,,60,150
2021-08-29 17:00:00+00:00,63.62458197,57.95494893,24.60541378,2.099999905,25.492474,0.100000001,0,2,19,,,,73,38.3
2021-08-29 18:00:00+00:00,65.01715149,58.04408656,27.56951738,2.099999905,24.94973201,1.970420237,0,2,18.5,,,,92,-2
2021-08-29 19:00:00+00:00,66.64945223,58.14166616,29.39703559,2.099999905,24.54166807,5.476088207,0,6,16.6,,,,96,-2.8
2021-08-29 20:00:00+00:00,68.53472323,58.07258335,30.64885987,2.099999905,25.37681397,4.697764678,0,8,13,,,,97,-2.6
2021-08-29 21:00:00+00:00,69.23977421,57.96666696,31.59086281,2.099999905,25.80430837,4.771507255,0,10,11.3,,,,97,-2.7
