timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Radiator_network_1_secondary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-03 10:00:00+00:00,81.192675,57.71471174,28.39472777,8.110924658,0,25.52934774,12.30590878,0,23.10000038,3.200000048,0,0,28.33046164,25,,,10.5,62,212.7,28.33046164
2021-09-03 11:00:00+00:00,81.50390612,57.29521795,27.56245042,10.09934109,0,24.97560414,4.335077339,0,23.10000038,3.200000048,0,0,27.60808876,27,,,11.3,65,299.9,27.60808876
2021-09-03 12:00:00+00:00,81.43610204,58.12577797,28.07541983,12.05520165,0,25.22086537,16.607938,0,23.10000038,3.200000048,0,0,27.94641157,29,,,11.8,56,703.7,27.94641157
2021-09-03 13:00:00+00:00,81.31601276,57.94297218,29.81868717,14.71978488,0,27.25050535,19.9919644,0,23.10000038,3.200000048,0,0,29.93565946,16,,,10.2,67,236.6,29.93565946
2021-09-03 14:00:00+00:00,81.34472595,57.93267953,29.10342176,13.61768198,0,25.94789157,14.67898628,0,23.10000038,3.200000048,0,0,28.99876494,24,,,9.8,76,124.9,28.99876494
2021-09-03 15:00:00+00:00,80.40580382,57.95767087,28.70933929,11.08095688,0,25.70356597,7.59466241,0,23.10000038,3.200000048,0,0,28.70232835,20,,,10.1,74,24.5,28.70232835
2021-09-03 16:00:00+00:00,80.1429647,58.02460646,28.96589466,10.77529636,0,25.96343874,9.020284067,0,23.10000038,3.200000048,0,0,28.97723205,20,,,10.6,63,130.6,28.97723205
2021-09-03 17:00:00+00:00,80.0989782,58.0893508,29.31026449,10.97356831,0,26.41163581,9.80953767,0,23.10000038,3.200000048,0,0,29.44925578,15,,,10.1,63,20.9,29.44925578
2021-09-03 18:00:00+00:00,80.2643641,58.0030199,30.0095228,16.44768921,0,26.85223143,9.843536469,0,23.10000038,3.200000048,0,0,29.91258504,8,,,9.2,67,-2.3,29.91258504
2021-09-03 19:00:00+00:00,80.73781978,57.96800972,30.14870906,8.326184721,0,27.40685411,9.179081269,0,23.10000038,3.200000048,0,0,30.21258132,9,,,8.6,69,-2.6,30.21258132
2021-09-03 20:00:00+00:00,80.74377126,57.96101685,30.53992964,14.67286476,0,27.23621765,9.71276843,0,23.10000038,3.200000048,0,0,30.44897724,9,,,8.1,73,-2.5,30.44897724
2021-09-03 21:00:00+00:00,80.79350129,58.0672417,30.63393647,4.941048599,0,27.72714147,11.36175449,0,23.10000038,3.200000048,0,0,30.71686504,10,,,7.5,79,-2.5,30.71686504
2021-09-03 22:00:00+00:00,80.88460583,57.93756894,30.71019323,12.39554301,0,27.73603727,11.05834175,0,23.10000038,3.200000048,0,0,30.91788288,11,,,7.4,81,-2.8,30.91788288
2021-09-03 23:00:00+00:00,81.15922446,58.12991896,31.05878397,9.325045938,0,28.07721068,11.68557445,0,23.10000038,3.200000048,0,0,31.04283061,11,,,7.4,84,-2.5,31.04283061
2021-09-04 00:00:00+00:00,80.98046314,57.92667655,31.01669239,13.96817278,0,28.14402052,8.736015626,0,23.10000038,3.200000048,0,0,31.01940308,11,,,7.2,81,-2.5,31.01940308
2021-09-04 01:00:00+00:00,80.97035202,57.99901178,30.59112277,11.45120492,0,27.63298483,11.70285738,0,23.10000038,3.200000048,0,0,30.79999924,11,,,7.5,78,-2.6,30.79999924
2021-09-04 02:00:00+00:00,81.16431347,57.96198719,31.243859,14.36672534,0,28.3047619,9.619110146,0,23.10000038,3.200000048,0,0,31.12920489,12,,,5.3,89,-2.3,31.12920489
2021-09-04 03:00:00+00:00,81.11938987,57.98133703,31.32761962,17.46250657,0,28.17825004,12.44231375,0,23.10000038,3.200000048,0,0,31.47457894,12,,,6.4,84,-2.3,31.47457894
2021-09-04 04:00:00+00:00,81.18951804,58.08378276,31.72330286,12.33016438,0,28.74174552,10.66398992,0,23.10000038,3.200000048,0,0,31.50878652,10,,,6.4,85,16.7,31.50878652
2021-09-04 05:00:00+00:00,80.9004441,57.99847421,31.19172122,14.58027762,0,27.97007032,10.92979108,0,23.10000038,3.200000048,0,0,31.25127674,13,,,7.2,82,83,31.25127674
2021-09-04 06:00:00+00:00,80.80604226,58.01144653,30.7738096,7.28525879,0,27.78937705,9.729529794,0,23.10000038,3.200000048,0,0,30.64699468,12,,,7.6,79,337.9,30.64699468
2021-09-04 07:00:00+00:00,80.41628779,57.98541322,29.64810722,6.495733143,0,26.52006852,8.638000097,0,23.10000038,3.200000048,0,0,29.66312329,13,,,9,68,403.9,29.66312329
2021-09-04 08:00:00+00:00,81.15218357,58.06630789,29.3747239,6.081649489,0,26.31729487,17.45488176,0,23.10000038,3.200000048,0,0,29.27472417,11,,,10.1,59,514.9,29.27472417
2021-09-04 09:00:00+00:00,80.94993086,57.97602952,28.72216855,6.037738058,0,25.99894166,13.96291156,0,23.10000038,3.200000048,0,0,28.82062671,11,,,11,55,174.3,28.82062671
2021-09-04 10:00:00+00:00,80.48153804,58.04029745,27.97458228,10.55978977,0,25.26574555,6.607950603,0,23.10000038,3.200000048,0,0,27.91974112,10,,,11.3,50,190,27.91974112
2021-09-04 11:00:00+00:00,80.22581456,57.94263407,27.916887,10.28408269,0,25.08274075,7.445025598,0,23.10000038,3.200000048,0,0,27.74363505,17,,,11.4,44,254.9,27.74363505
2021-09-04 12:00:00+00:00,80.42545295,57.98400604,27.90844741,15.10059446,0,25.25192125,8.262330662,0,23.10000038,3.200000048,0,0,27.96445936,16,,,11.2,44,719.4,27.96445936
2021-09-04 13:00:00+00:00,80.21610684,58.01543872,27.81743328,13.07142452,0,25.20401772,8.618301018,0,23.10000038,3.200000048,0,0,27.85710568,9,,,10.5,46,396.8,27.85710568
2021-09-04 14:00:00+00:00,80.22399824,58.00167289,28.74233224,8.849230098,0,25.87310571,7.463387493,0,23.10000038,3.200000048,0,0,28.61132994,7,,,10.5,47,98.7,28.61132994
2021-09-04 15:00:00+00:00,80.13441072,58.03985025,28.95130397,8.936661801,0,25.9601197,8.308779461,0,23.10000038,3.200000048,0,0,29.1477275,9,,,9.8,49,41.1,29.1477275
2021-09-04 16:00:00+00:00,80.50847529,57.99214888,29.87515657,12.0096294,0,26.64330982,11.3804285,0,23.10000038,3.200000048,0,0,29.68185972,7,,,9.2,50,23.2,29.68185972
2021-09-04 17:00:00+00:00,80.43253977,58.04054185,30.03384609,10.2026142,0,27.35444308,9.119459831,0,23.10000038,3.200000048,0,0,30.18377161,10,,,8.6,57,13.9,30.18377161
2021-09-04 18:00:00+00:00,81.05961009,57.93435529,30.69184526,8.917830534,0,27.3036786,11.03202192,0,23.10000038,3.200000048,0,0,30.52853597,9,,,7.9,59,-3.1,30.52853597
2021-09-04 19:00:00+00:00,81.21954681,57.95707475,31.09215701,15.58711663,0,28.50520343,11.1374005,0,23.10000038,3.200000048,0,0,31.23044333,11,,,7.4,64,-3.1,31.23044333
2021-09-04 20:00:00+00:00,81.08337323,58.00050582,31.93291762,13.53551538,0,28.52958474,11.68124674,0,23.10000038,3.200000048,0,0,31.79171512,12,,,6.2,71,-2.8,31.79171512
2021-09-04 21:00:00+00:00,80.9498128,57.93328674,31.80046187,18.03248965,0,29.17667044,12.59755695,0,23.10000038,3.200000048,0,0,32.03546432,11,,,5.8,76,-2.6,32.03546432
2021-09-04 22:00:00+00:00,80.82570913,58.0027093,32.66547816,20.6668769,0,29.21798864,14.06830028,0,23.10000038,3.200000048,0,0,32.6065718,13,,,5.3,79,-2.5,32.6065718
2021-09-04 23:00:00+00:00,80.96627494,58.02471295,32.74987557,16.55221628,0,29.73400303,13.72910851,0,23.10000038,3.200000048,0,0,32.89508045,13,,,4.6,83,-2.6,32.89508045
2021-09-05 00:00:00+00:00,81.19937568,58.00812592,33.30791967,15.47381718,0,30.48458224,12.52217095,0,23.10000038,3.200000048,0,0,33.15500207,14,,,3.3,87,-2.7,33.15500207
2021-09-05 01:00:00+00:00,81.02874936,58.001611,33.04529465,12.93728849,0,29.736928,12.8212944,0,23.10000038,3.200000048,0,0,33.06341177,14,,,1.4,94,-2.6,33.06341177
2021-09-05 02:00:00+00:00,80.99962177,58.03206572,32.87505357,12.56644075,0,30.13554676,11.34130364,0,23.10000038,3.200000048,0,0,32.83362054,15,,,0.8,95,-2.2,32.83362054
2021-09-05 03:00:00+00:00,80.85883415,57.9431799,32.14197365,14.47920333,0,28.9643687,12.58222161,0,23.10000038,3.200000048,0,0,32.36499976,15,,,1.9,95,-1.8,32.36499976
2021-09-05 04:00:00+00:00,80.98300769,57.96796234,32.43332391,10.97189799,0,29.60097868,12.01856532,0,23.10000038,3.200000048,0,0,32.28525596,14,,,2.3,95,19.9,32.28525596
