timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Ventilation_network_1_secondary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-08-31 17:00:00+00:00,65.36525105,58.03166427,26.34862547,2.099999905,24.68400803,0,0,0,26.33128276,2,,,,15.9,57,31,26.33128276
2021-08-31 18:00:00+00:00,66.17134551,57.93255495,28.11613086,2.099999905,24.5335972,0.991661727,0,0,27.90446336,3,,,,14.8,62,-2.2,27.90446336
2021-08-31 19:00:00+00:00,66.9010149,58.10155775,29.27757365,2.099999905,24.84662681,2.754369107,0,0,29.3698052,4,,,,14.1,66,-2.6,29.3698052
2021-08-31 20:00:00+00:00,68.27522929,58.04010887,30.95334396,2.099999905,25.54608929,4.243189315,0,0,30.96856178,6,,,,12.5,75,-2.6,30.96856178
2021-08-31 21:00:00+00:00,69.12055507,57.91588839,31.75389034,2.099999905,25.92733799,4.264002808,0,0,31.75711254,7,,,,10.9,85,-3,31.75711254
2021-08-31 22:00:00+00:00,69.470423,58.09922574,32.0757751,2.099999905,26.30277524,4.463949306,0,0,32.07827431,9,,,,11.3,87,-2.8,32.07827431
2021-08-31 23:00:00+00:00,69.47618999,57.96066288,32.0749983,2.099999905,26.11313058,4.15033513,0,0,32.05011337,11,,,,10.5,90,-2.4,32.05011337
2021-09-01 00:00:00+00:00,69.50077511,58.0507758,32.14999889,2.099999905,26.00376219,4.62755234,0,0,32.13666735,11,,,,11.9,83,-2.6,32.13666735
2021-09-01 01:00:00+00:00,69.51744258,58.00755792,32.20387836,2.099999905,26.26602081,4.157870099,0,0,32.25720997,11,,,,12,78,-2.5,32.25720997
2021-09-01 02:00:00+00:00,69.65232438,58.04844803,32.96685609,2.099999905,26.51030883,5.109399888,0,0,33.05018961,11,,,,11.3,79,-2.3,33.05018961
2021-09-01 03:00:00+00:00,70.44417443,57.83644545,34.11452894,2.099999905,27.12595191,6.615533294,0,0,34.08530264,12,,,,10.5,78,-1.6,34.08530264
2021-09-01 04:00:00+00:00,71.74940587,57.82111593,34.52345121,2.099999905,27.30755087,6.822680566,0,0,34.60999998,11,,,,9.7,79,38.3,34.60999998
2021-09-01 05:00:00+00:00,72.69708229,57.78237949,34.1938077,2.099999905,26.97853286,6.656554403,0,0,34.17547875,12,,,,9.9,75,153.9,34.17547875
2021-09-01 06:00:00+00:00,72.85524101,58.49803726,32.99983352,2.099999905,26.52616944,5.251385556,0,0,33.06905609,19,,,,10.6,72,288.5,33.06905609
2021-09-01 07:00:00+00:00,72.19459252,57.9385715,31.57853348,2.099999905,25.78524385,4.53645089,0,0,31.56519861,20,,,,11.7,68,414.9,31.56519861
2021-09-01 08:00:00+00:00,71.50561196,57.82434147,30.07674705,2.099999905,25.33038684,3.007245619,0,0,30.01419051,22,,,,12.8,62,589.9,30.01419051
2021-09-01 09:00:00+00:00,71.21846129,58.18629349,29.17001851,2.099999905,24.84359397,2.539976261,0,0,29.24973021,17,,,,13.4,57,594.7,29.24973021
2021-09-01 10:00:00+00:00,70.4385751,57.99302224,29.06741266,2.099999905,24.98417432,1.736129371,0,0,28.77064542,15,,,,13.4,56,726,28.77064542
2021-09-01 11:00:00+00:00,70.65908529,57.94467254,29.02880306,2.099999905,24.93184745,1.913574934,0,0,28.90091369,17,,,,12.7,56,736.3,28.90091369
2021-09-01 12:00:00+00:00,70.19246704,58.02651215,29.09854637,2.099999905,24.67653821,4.752177224,0,0,29.23596486,18,,,,12.9,58,448.1,29.23596486
2021-09-01 13:00:00+00:00,69.06980469,58.03182847,27.07575779,2.099999905,23.99759917,2.217336793,0,0,27.19033219,10,,,,13.4,54,194.9,27.19033219
