timestamp,District_heat_temperature,Domestic_water_network_1_temperature,Radiator_network_1_temperature,Radiator_network_1_primary_valve,Ventilation_network_1_temperature,Ventilation_network_1_primary_valve,Floor_network_1_temperature,Floor_network_1_primary_valve,control_on,control_off,Energy_consumption,Inside_temperature,CO2_concentration,avg_pressure_difference,Outside_temperature_average,Outside_humidity,Solar_irradiance,Radiator_network_1_temperature_setpoint
2021-09-03 14:00:00+00:00,78.35963651,58.05573853,34.33814903,19.64370347,31.07698398,27.33978542,24.99227095,0,0,34.19709788,9,,,,9.8,76,124.9,34.19709788
2021-09-03 15:00:00+00:00,77.0420724,57.91228525,33.83411344,13.94266909,31.09174163,10.80810596,24.92441152,0,0,34.02037841,7,,,,10.1,74,24.5,34.02037841
2021-09-03 16:00:00+00:00,76.4299327,57.98067344,34.39517136,17.75778528,31.40326513,15.13862637,24.94231604,0,0,34.23095973,10,,,,10.6,63,130.6,34.23095973
2021-09-03 17:00:00+00:00,76.68185298,57.9817678,35.05370571,18.87925866,32.01194546,18.03877759,24.9466656,0,0,35.01831785,7,,,,10.1,63,20.9,35.01831785
2021-09-03 18:00:00+00:00,77.47406415,57.87360642,36.03498551,16.35694889,33.3066875,11.86239461,24.89037372,0,0,36.01489628,3,,,,9.2,67,-2.3,36.01489628
2021-09-03 19:00:00+00:00,77.03400262,57.95962385,36.45964698,16.05212799,33.36089247,15.22588732,25.01795856,0,0,36.45693528,4,,,,8.6,69,-2.6,36.45693528
2021-09-03 20:00:00+00:00,77.10735675,57.99131506,36.79494336,18.3369269,33.80842026,19.85532238,24.86665326,0,0,36.77087669,4,,,,8.1,73,-2.5,36.77087669
2021-09-03 21:00:00+00:00,77.04228267,57.78402083,36.99412615,22.12783762,34.35708651,13.39791536,24.93394969,0,0,37.13808281,6,,,,7.5,79,-2.5,37.13808281
2021-09-03 22:00:00+00:00,77.276863,57.93832602,37.81953989,19.42033069,34.8622238,17.45007817,25,0,0,37.76348745,4,,,,7.4,81,-2.8,37.76348745
2021-09-03 23:00:00+00:00,77.45286199,58.01923019,38.23949681,16.27708696,35.21978434,14.44039744,25.0322487,0,0,38.22772286,5,,,,7.4,84,-2.5,38.22772286
2021-09-04 00:00:00+00:00,77.68328962,57.91779937,38.22209304,15.21040134,35.18457043,15.78901244,25.10000038,0,0,38.03605093,5,,,,7.2,81,-2.5,38.03605093
2021-09-04 01:00:00+00:00,77.60100216,58.03538109,37.5614082,18.89577498,34.64740026,18.12254042,25.10000038,0,0,37.73682097,5,,,,7.5,78,-2.6,37.73682097
2021-09-04 02:00:00+00:00,77.59727951,58.0176864,37.38220445,17.50512882,34.57724332,16.25511118,25.04997509,0,0,37.49851581,6,,,,5.3,89,-2.3,37.49851581
2021-09-04 03:00:00+00:00,77.81838878,57.97504845,38.07216627,25.04244105,34.96796839,14.07607508,25.10000038,0,0,37.91381726,5,,,,6.4,84,-2.3,37.91381726
2021-09-04 04:00:00+00:00,77.67292773,57.91702352,37.92745164,11.29197096,34.99308046,12.2846253,25.04997605,0,0,38.00588146,5,,,,6.4,85,16.7,38.00588146
2021-09-04 05:00:00+00:00,77.44922166,57.99922543,36.84849427,17.85095909,34.0040538,17.94808543,25.10000038,0,0,36.96909566,5,,,,7.2,82,83,36.96909566
2021-09-04 06:00:00+00:00,76.89789545,57.90038708,35.65931169,14.55955643,32.79098859,15.19339657,25.10000038,0,0,35.67208678,6,,,,7.6,79,337.9,35.67208678
2021-09-04 07:00:00+00:00,76.73065704,57.92637658,34.5406367,13.48971103,31.81903457,9.363008978,25.05800849,0,0,34.6892989,5,,,,9,68,403.9,34.6892989
2021-09-04 08:00:00+00:00,77.36239861,58.01590852,33.79030847,24.50607007,30.91183395,18.00755345,25.09199133,0,0,33.8415459,5,,,,10.1,59,514.9,33.8415459
2021-09-04 09:00:00+00:00,77.78282935,58.09139245,33.32859114,18.12685413,30.02301137,18.09223245,25.199462,0,0,33.15780731,4,,,,11,55,174.3,33.15780731
2021-09-04 10:00:00+00:00,76.86333076,57.92591164,32.68696948,21.60438097,29.21789595,12.02574852,25.09145477,0,0,32.65150924,4,,,,11.3,50,190,32.65150924
2021-09-04 11:00:00+00:00,75.68307145,57.90731376,31.98834447,13.17289604,28.74807476,13.80522949,25.00906933,0,0,32.17435643,6,,,,11.4,44,254.9,32.17435643
2021-09-04 12:00:00+00:00,76.29369441,58.06677904,31.79378313,15.44619307,28.13780548,13.98438455,24.97432587,0,0,31.80390638,6,,,,11.2,44,719.4,31.80390638
2021-09-04 13:00:00+00:00,76.81633183,58.00022649,32.36688458,18.31525504,29.01118099,13.22140553,25.0675614,0,0,32.35976763,5,,,,10.5,46,396.8,32.35976763
2021-09-04 14:00:00+00:00,77.00755854,57.93266193,33.29134087,17.57733796,30.03878929,15.72683191,25.17466676,0,0,33.24844411,3,,,,10.5,47,98.7,33.24844411
2021-09-04 15:00:00+00:00,77.01786016,57.90948974,33.89317269,18.55741657,30.81427842,17.00075617,25.1418283,0,0,33.84703433,3,,,,9.8,49,41.1,33.84703433
2021-09-04 16:00:00+00:00,77.45853801,58.04895568,34.91901248,17.28083013,32.3634251,12.88498854,25.10000038,0,0,35.0474758,4,,,,9.2,50,23.2,35.0474758
2021-09-04 17:00:00+00:00,77.65917806,58.02528133,36.14201473,20.80064432,33.15176318,18.11329455,25.14166754,0,0,36.16108855,4,,,,8.6,57,13.9,36.16108855
2021-09-04 18:00:00+00:00,78.27476634,57.96700239,37.47623596,16.73758162,34.61139441,15.6941672,25.11671755,0,0,37.37043147,4,,,,7.9,59,-3.1,37.37043147
2021-09-04 19:00:00+00:00,78.14186175,58.17476707,37.94906216,22.43414694,35.0093709,16.82767953,25.20000076,0,0,38.0551593,5,,,,7.4,64,-3.1,38.0551593
2021-09-04 20:00:00+00:00,78.3747592,57.93295534,38.88394279,19.33476979,35.98372523,15.65979464,25.04180284,0,0,38.89019457,5,,,,6.2,71,-2.8,38.89019457
2021-09-04 21:00:00+00:00,78.20866105,58.0169951,39.15847924,22.39085145,35.96153553,18.60213434,25.14963003,0,0,39.21375376,5,,,,5.8,76,-2.6,39.21375376
2021-09-04 22:00:00+00:00,78.30505252,58.04043051,39.99417649,19.04071297,37.0940996,19.3730138,25.15021889,0,0,39.88271909,5,,,,5.3,79,-2.5,39.88271909
2021-09-04 23:00:00+00:00,78.44148141,58.18297971,40.84077653,21.02505329,38.20897089,17.96746707,25.20000076,0,0,40.81340803,6,,,,4.6,83,-2.6,40.81340803
2021-09-05 00:00:00+00:00,78.31666533,57.98354299,40.94228495,18.74509984,38.09561138,16.02644024,25.15000106,0,0,41.05666455,6,,,,3.3,87,-2.7,41.05666455
2021-09-05 01:00:00+00:00,78.49127783,58.07648499,41.314741,22.66942805,38.4418108,14.02521532,25.14997195,0,0,41.16175241,6,,,,1.4,94,-2.6,41.16175241
2021-09-05 02:00:00+00:00,78.18393146,58.04160706,40.23409348,16.1102603,37.67821938,15.9050969,25.05022686,0,0,40.53877084,6,,,,0.8,95,-2.2,40.53877084
2021-09-05 03:00:00+00:00,78.34152439,58.00875057,40.03422426,21.31298176,36.92087548,17.6692036,25.099589,0,0,39.97477263,6,,,,1.9,95,-1.8,39.97477263
2021-09-05 04:00:00+00:00,78.2250907,57.89973116,39.8933189,20.79334443,37.1025763,16.17465818,25.05032344,0,0,40.00079744,7,,,,2.3,95,19.9,40.00079744
2021-09-05 05:00:00+00:00,77.97536377,57.87514706,38.6084197,16.12575911,35.29254648,13.78947294,25.14983538,0,0,38.39487975,5,,,,3.7,92,52,38.39487975
2021-09-05 06:00:00+00:00,77.31749633,58.17466922,36.23358976,9.495908264,33.39384661,12.2479258,24.98349647,0,0,36.16543991,7,,,,6.9,81,282.9,36.16543991
2021-09-05 07:00:00+00:00,76.12654371,58.02563094,33.171876,14.92935511,30.16087943,14.62036438,25.04996825,0,0,33.38424547,6,,,,10.4,71,299.5,33.38424547
2021-09-05 08:00:00+00:00,77.02262637,58.03268009,32.45932007,16.90876364,28.94057129,18.18592536,25.1415542,0,0,32.36465754,5,,,,11.8,60,353.3,32.36465754
2021-09-05 09:00:00+00:00,77.39944082,58.0428855,31.30042578,18.88675937,27.47836701,19.33108788,25.07518909,0,0,31.32414138,4,,,,12.5,49,369.7,31.32414138
2021-09-05 10:00:00+00:00,77.010769,58.06557286,30.78281578,14.71607494,27.23440596,10.78837129,25.07481089,0,0,30.73764278,4,,,,12.8,45,410.9,30.73764278
2021-09-05 11:00:00+00:00,76.03510362,58.12478609,30.1617568,12.98071765,26.20321159,7.559182853,25.00044271,0,0,30.28154929,6,,,,12.9,48,372.6,30.28154929
2021-09-05 12:00:00+00:00,76.25672812,58.02533459,30.37629267,16.51591876,26.39701767,19.7174671,24.89999962,0,0,30.37854775,5,,,,12.8,51,326.1,30.37854775
2021-09-05 13:00:00+00:00,76.55869678,58.09030416,30.87435875,15.62469965,27.27368804,11.08519083,24.9500011,0,0,30.87550006,4,,,,12.5,52,237.5,30.87550006
2021-09-05 14:00:00+00:00,76.77321153,57.94293711,31.99344167,14.38045211,28.09713417,14.05424771,24.93307616,0,0,31.68067108,3,,,,12,53,137.1,31.68067108
2021-09-05 15:00:00+00:00,76.67577227,58.08333656,31.9999978,12.14133736,28.68070963,13.21147575,24.98333313,0,0,32.2290648,3,,,,11.7,57,126.1,32.2290648
2021-09-05 16:00:00+00:00,77.06453155,57.91664738,32.82133488,23.43058337,29.63301383,14.47450318,24.91593484,0,0,32.79497875,4,,,,11.2,57,34.2,32.79497875
2021-09-05 17:00:00+00:00,77.03493691,58.05133702,33.49200393,14.61189749,30.25371302,16.08812822,24.88470662,0,0,33.46956602,4,,,,10.4,67,5.8,33.46956602
2021-09-05 18:00:00+00:00,77.10769466,57.94039278,34.02965821,22.31150552,31.39063043,12.72843424,24.83301297,0,0,33.95562951,3,,,,9.4,77,-1.5,33.95562951
2021-09-05 19:00:00+00:00,76.85096366,57.9983158,34.0947138,12.8622291,31.38325356,10.34499183,24.89999962,0,0,34.26244803,5,,,,9.6,72,-1.8,34.26244803
2021-09-05 20:00:00+00:00,76.85024709,57.92779439,34.9128079,14.37949051,31.80347849,16.97936918,24.82532209,0,0,34.73432487,4,,,,9.2,74,-1.5,34.73432487
2021-09-05 21:00:00+00:00,76.6330845,58.03358194,35.34642992,24.38162005,32.65452534,14.68962514,24.82467396,0,0,35.58374566,5,,,,8.8,79,-1.5,35.58374566
2021-09-05 22:00:00+00:00,76.81301367,57.88206872,36.5839589,18.65679648,33.10746586,18.04042464,24.89999962,0,0,36.32408813,4,,,,8,86,-1.2,36.32408813
2021-09-05 23:00:00+00:00,77.41780128,57.96489651,37.41990827,22.42426343,34.45964813,20.78115616,24.89999962,0,0,37.29802752,4,,,,7,91,-1.5,37.29802752
2021-09-06 00:00:00+00:00,77.61673591,57.9571875,38.261707,20.10930527,35.29272455,17.71074217,24.89999962,0,0,38.32269283,5,,,,5.3,95,-2.5,38.32269283
2021-09-06 01:00:00+00:00,77.79133439,57.93481076,38.45290423,12.61081102,35.73662641,17.14275731,24.89999962,0,0,38.46666492,5,,,,4.6,97,-2.4,38.46666492
2021-09-06 02:00:00+00:00,79.16867384,58.04885099,38.82162584,22.07350131,35.35796162,44.87144482,24.89999962,0,0,38.80766855,6,,,,3.8,97,-2.3,38.80766855
2021-09-06 03:00:00+00:00,79.50981966,58.04289353,37.69972853,10.30774948,34.44090356,40.99793822,24.95000078,0,0,37.70935287,5,,,,3.6,98,-1.9,37.70935287
2021-09-06 04:00:00+00:00,79.69107158,58.0381524,36.46188231,11.80322756,33.74715588,37.01505112,24.849998,0,0,36.62568659,6,,,,6,98,30.4,36.62568659
2021-09-06 05:00:00+00:00,79.6603482,57.2951286,35.87895961,16.75427709,33.22716928,33.42507928,24.89999962,0,0,35.8014219,13,,,,7.4,97,33.1,35.8014219
2021-09-06 06:00:00+00:00,79.26605918,57.3026705,34.53711872,18.14675356,31.85075021,25.84825168,24.9412507,0,0,34.74337791,12,,,,8,94,204.3,34.74337791
2021-09-06 07:00:00+00:00,79.40084954,57.48796624,33.40563469,18.61495428,30.17161723,30.10521551,25,0,0,33.42202695,14,,,,8.9,86,420.7,33.42202695
2021-09-06 08:00:00+00:00,79.42549559,58.01592188,32.55935537,11.84898121,29.42589753,23.74011131,25,0,0,32.49041483,15,,,,9.2,84,377.9,32.49041483
2021-09-06 09:00:00+00:00,79.70758986,57.43126332,31.93756256,16.53553178,28.40792675,25.35411927,24.95833282,0,0,32.08480437,12,,,,9.7,84,310.9,32.08480437
2021-09-06 10:00:00+00:00,79.8174345,56.88470025,32.71542565,14.0619841,29.50891629,18.38456436,25.01614586,0,0,32.55489553,11,,,,10.5,78,491.2,32.55489553
2021-09-06 11:00:00+00:00,79.41799137,57.5388256,31.94815028,20.78065441,28.39341576,17.30723924,25.03387185,0,0,31.83923946,10,,,,11.9,72,599.1,31.83923946
2021-09-06 12:00:00+00:00,77.98681167,57.92880823,31.11045797,13.8106968,27.40937763,11.16592535,25.06612723,0,0,31.1604199,10,,,,13.2,57,544.4,31.1604199
2021-09-06 13:00:00+00:00,77.0534403,58.06906277,30.39089578,16.33543296,26.37158464,12.11253571,25.03387407,0,0,30.37047801,11,,,,13.5,61,475.3,30.37047801
2021-09-06 14:00:00+00:00,77.19274721,57.98771325,30.25618857,15.1897253,26.29620177,17.27666839,24.98387706,0,0,30.22116172,10,,,,13.8,55,375,30.22116172
2021-09-06 15:00:00+00:00,76.64662644,58.20871455,30.93764629,15.23850895,26.92117459,12.20330986,24.87555938,0,0,30.87888655,6,,,,13.8,56,162.4,30.87888655
2021-09-06 16:00:00+00:00,76.61386407,58.01248431,31.83848177,16.44056359,28.53263141,17.50591877,24.88277238,0,0,31.85274642,5,,,,12.5,76,84.7,31.85274642
2021-09-06 17:00:00+00:00,76.69284653,57.84012994,32.38330207,20.38275755,29.21788053,13.30683882,24.89999962,0,0,32.65255907,4,,,,11.1,78,15.3,32.65255907
2021-09-06 18:00:00+00:00,76.88269485,58.15638512,33.49488553,14.99532945,30.43845981,16.11983111,24.9327086,0,0,33.51707677,4,,,,9.9,83,-3.3,33.51707677
2021-09-06 19:00:00+00:00,77.12370241,57.98198829,35.24316134,18.13338407,32.32906209,16.30711037,24.9673336,0,0,35.03042032,4,,,,7.5,92,-2.9,35.03042032
2021-09-06 20:00:00+00:00,77.0249999,57.9943385,36.03297384,20.72018464,33.36059899,14.7630622,24.89999962,0,0,36.01799668,3,,,,5.8,95,-2.6,36.01799668
2021-09-06 21:00:00+00:00,76.50401401,57.8923825,35.37449157,16.11234453,32.70609944,14.73740934,24.98266451,0,0,35.57572507,5,,,,5.5,96,-2.5,35.57572507
